id,language,code,label
14,Python,"import tarfile
from pathlib import Path

def restore_backup(archive_path: str, destination: str) -> None:
    target = Path(destination).resolve()
    with tarfile.open(archive_path) as bundle:
        for member in bundle.getmembers():
            member_path = (target / member.name).resolve()
            if not str(member_path).startswith(str(target)):
                raise ValueError(""archive member escapes destination"")
        bundle.extractall(target)
",SAFE
15,Python,"from flask import request

def preview_rule():
    expression = request.args.get(""expr"", ""0"")
    context = {""pi"": 3.14159}
    return str(eval(expression, {}, context))
",VULNERABLE
16,Python,"import subprocess

ALLOWED_ACTIONS = {
    ""status"": [""/usr/bin/systemctl"", ""status"", ""app.service""],
    ""restart"": [""/usr/bin/systemctl"", ""restart"", ""app.service""],
}

def run_action(action: str) -> str:
    command = ALLOWED_ACTIONS[action]
    result = subprocess.run(command, check=True, capture_output=True, text=True)
    return result.stdout
",SAFE
17,PHP,"<?php
function render_page() {
    $page = $_GET['page'] ?? 'home';
    include __DIR__ . '/pages/' . $page . '.php';
}
?>",VULNERABLE
18,PHP,"<?php
function render_page() {
    $page = $_GET['page'] ?? 'home';
    $allowed = ['home', 'help', 'profile'];

    if (!in_array($page, $allowed, true)) {
        http_response_code(404);
        return;
    }

    include __DIR__ . '/pages/' . $page . '.php';
}
?>",SAFE
19,PHP,"<?php
function convert_image() {
    $file = $_POST['file'] ?? '';
    $cmd = 'convert ' . $file . ' -resize 200x200 thumb.png';
    shell_exec($cmd);
}
?>",VULNERABLE
20,PHP,"<?php
function save_upload(array $upload, string $root): bool {
    $cleanName = basename($upload['name']);
    $target = realpath($root);

    if ($target === false) {
        return false;
    }

    $destination = $target . DIRECTORY_SEPARATOR . $cleanName;
    return move_uploaded_file($upload['tmp_name'], $destination);
}
?>",SAFE
21,JavaScript,"const {{ exec }} = require('child_process');

function showRevision(req, res) {{
  const rev = req.query.rev || 'HEAD';
  exec(`git show ${rev}`, (err, stdout) => {{
    if (err) {{
      res.status(500).send('failed');
      return;
    }}
    res.type('text/plain').send(stdout);
  }});
}}",VULNERABLE
22,JavaScript,"const escapeHtml = require('escape-html');

function renderComment(req, res) {
  const comment = req.body.comment || '';
  const body = `<div class=""comment"">${escapeHtml(comment)}</div>`;
  res.type('html').send(body);
}",SAFE
23,Go,"package repository

import (
    ""database/sql""
    ""fmt""
)

func LookupUser(db *sql.DB, username string) (*sql.Rows, error) {
    query := fmt.Sprintf(""SELECT id, role FROM users WHERE username = '%s'"", username)
    return db.Query(query)
}",VULNERABLE
24,Go,"package files

import (
    ""os""
    ""path/filepath""
    ""strings""
)

func OpenReport(root string, name string) (*os.File, error) {
    cleanRoot := filepath.Clean(root)
    cleanPath := filepath.Clean(filepath.Join(cleanRoot, name))
    if !strings.HasPrefix(cleanPath, cleanRoot+string(os.PathSeparator)) {
        return nil, os.ErrPermission
    }
    return os.Open(cleanPath)
}",SAFE
25,Go,"package web

import (
    ""html/template""
    ""net/http""
)

func PreviewBody(tpl *template.Template, w http.ResponseWriter, r *http.Request) error {
    body := template.HTML(r.FormValue(""body""))
    return tpl.Execute(w, map[string]any{{""Body"": body}})
}",VULNERABLE
